Feature,SHAP_Mean_Abs,Rank
house_age,2.7109039651697278,1
childcare_pk,2.6745900003676484,2
closeness,2.5012195627044553,3
aging_ratio,1.7227957342388613,4
seoul_dist_km,1.6264806253524338,5
pagerank_lag1,1.5921697768561982,6
pop_density,1.5797010228675488,7
doctor_per1000,1.4048079265166151,8
ln_pop,1.191146986837709,9
fertility,0.9692734782879122,10
employ_rate,0.891014935241668,11
fiscal_indep,0.8755039018573476,12
betweenness,0.8622081273990527,13
biz_count,0.7886693887184354,14
youth_ratio,0.7301206747666348,15
covid_dummy,0.6976539910695982,16
in_deg_cent,0.6526883526792598,17
extinction_risk,0.634235180541711,18
culture_facility_count,0.41531092605987013,19
metro_dummy,0.025301320348904133,20
