Year,N_Regions,Mean_PageRank,SD_PageRank,Mean_Betweenness,Mean_InDeg,Mean_NetRate,SD_NetRate,NetRate_P90_P10,Top20_InStr_Share,Jaccard_vs2008
2008,229,0.004375,0.003588,0.015587,0.9332,-2.425,25.795,40.114,0.2944,1.0
2010,229,0.004381,0.003521,0.015811,0.9329,-0.49,19.278,33.654,0.2852,0.6667
2012,229,0.004366,0.003488,0.015778,0.9295,-0.009,18.833,32.172,0.286,0.6
2014,229,0.004371,0.003441,0.016067,0.9309,1.659,22.505,35.737,0.282,0.6
2016,229,0.004366,0.003465,0.016202,0.9298,0.598,25.525,36.492,0.2855,0.6
2018,229,0.004372,0.00375,0.016915,0.9274,-2.436,20.665,39.797,0.3024,0.4815
2020,229,0.004374,0.003673,0.017036,0.9264,-2.497,19.651,39.095,0.2942,0.5385
2022,229,0.004372,0.00356,0.016619,0.9175,1.108,14.018,27.462,0.2919,0.5385
2024,229,0.004373,0.003612,0.016388,0.9133,-0.845,14.431,28.617,0.2932,0.4815
2025,229,0.004371,0.003544,0.015337,0.9195,1.47,18.224,39.283,0.295,0.4286
