year,coef,se,p,ci_lo,ci_hi,n
2009,1807.977827794826,905.5321802729861,0.047142727720123734,33.13475445977315,3582.8209011298786,222
2010,143.9846423296972,829.332873544741,0.8623329117866798,-1481.5077898179952,1769.4770744773896,222
2011,1457.8290157163804,565.0616878093715,0.010553976478814064,350.30810761001226,2565.3499238227487,222
2012,1685.1780174949429,705.3663597699622,0.017762726224350933,302.65995234581715,3067.6960826440686,222
2013,2509.630084527066,687.0364261561809,0.00032652705641389446,1163.0386892609515,3856.221479793181,222
2014,2367.5574422146756,779.7109573507624,0.0026924236965839565,839.3239658071811,3895.79091862217,222
2015,2034.2809394156834,756.7577293515876,0.007752904166746122,551.0357898865718,3517.526088944795,222
2016,1770.3735613852723,943.9375006267752,0.062089356026781006,-79.74393984320704,3620.4910626137516,222
2017,3037.4520701748697,1099.0231722476187,0.006214147789501023,883.3666525695371,5191.537487780202,222
2018,2389.1449741015467,1032.2622031405006,0.0215945065190688,365.91105594616556,4412.378892256927,222
2019,1084.3693901737408,770.028775025042,0.16052404267426157,-424.8870088753415,2593.625789222823,222
2020,1047.527307029832,823.7365687584276,0.2048744727092886,-566.9963677366861,2662.0509817963502,222
2021,1291.1004048409027,745.1121728423636,0.08458576611744473,-169.31945393013007,2751.5202636119357,222
2022,1475.812956094231,647.1835405937456,0.023575830008978782,207.33321653048938,2744.292695657972,222
2023,1980.8421692569234,689.2680723698588,0.004466046921153488,629.8767474120002,3331.807591101847,222
2024,1027.04878987438,735.4447002209139,0.16401737936694283,-414.4228225586112,2468.520402307371,222
