rank_2008,name_2008,sido_2008,pr_2008,rank_2025,name_2025,sido_2025,pr_2025
1,경기도 수원시,경기도,0.0188704372207373,1,경기도 화성시,경기도,0.0182556584642561
2,경기도 화성시,경기도,0.0178515907932642,2,경기도 용인시,경기도,0.0180666438706606
3,서울특별시 송파구,서울특별시,0.0165734753472343,3,경기도 수원시,경기도,0.0179853950576577
4,경기도 용인시,경기도,0.0158938114394884,4,경기도 고양시,경기도,0.0138033770278007
5,경기도 고양시,경기도,0.0153049949025189,5,인천광역시 서구,인천광역시,0.0133341230650885
6,경기도 성남시,경기도,0.0138541221311001,6,서울특별시 관악구,서울특별시,0.0132804553286869
7,경기도 부천시,경기도,0.0133559844403441,7,경기도 성남시,경기도,0.0132023232306909
8,서울특별시 강남구,서울특별시,0.0126028556298021,8,경기도 평택시,경기도,0.0126770864236443
9,서울특별시 관악구,서울특별시,0.0124341738058099,9,서울특별시 송파구,서울특별시,0.0124390442769552
10,서울특별시 강서구,서울특별시,0.0118943671251756,10,충청남도 천안시,충청남도,0.0119244486891179
11,인천광역시 남동구,인천광역시,0.0116954602344524,11,서울특별시 강남구,서울특별시,0.0119229635666411
12,경상남도 창원시,경상남도,0.0115376952663366,12,서울특별시 강동구,서울특별시,0.0119082299476988
13,경기도 안산시,경기도,0.0115263877674701,13,충청북도 청주시,충청북도,0.0118062559692255
14,충청남도 천안시,충청남도,0.0106665819654869,14,대전광역시 서구,대전광역시,0.011689506199617
15,인천광역시 부평구,인천광역시,0.0106031448808646,15,경상남도 창원시,경상남도,0.0113401867650034
16,서울특별시 노원구,서울특별시,0.010291360946126,16,서울특별시 강서구,서울특별시,0.0098089963255976
17,광주광역시 북구,광주광역시,0.0102492136808272,17,경기도 안양시,경기도,0.0097990859758711
18,대구광역시 달서구,대구광역시,0.0102262635724035,18,경기도 남양주시,경기도,0.0095012827496779
19,전북특별자치도 전주시,전북특별자치도,0.0101590460175995,19,서울특별시 동대문구,서울특별시,0.0094917874077212
20,경기도 남양주시,경기도,0.0101277422787052,20,대전광역시 유성구,대전광역시,0.0094670677296698
